Città;Indirizzo;Servizio;Email;Presidio;Note
Besana in Brianza;Via Alessandro Manzoni;...;CARATE;Carate Brianza;
Besana in Brianza;Via Viarana;...;CARATE;Carate Brianza;
Besana in Brianza;Via Alessandro Manzoni;...;CARATE;Carate Brianza;
Carate Brianza;Via Mosè Bianchi;Presidio Ospedaliero;CARATE;Carate Brianza;
Carate Brianza;Via Mascherpa;Scelta e Revoca - CV - ADI;CARATE;Carate Brianza;
Carate Brianza;Via Doninzetti;CPS;CARATE;Carate Brianza;
Carate Brianza;Via Mascherpa;...;CARATE;Carate Brianza;
Carate Brianza;Via Doninzetti;...;CARATE;Carate Brianza;
Concorezzo;Via Sergio de Giorgi;...;CARATE;Carate Brianza;
Giussano;Via Milano;Presidio Ospedaliero;CARATE;Carate Brianza;
Giussano;Via Milano;Casa di Comunità;CARATE;Carate Brianza;
Giussano;Via Milano;AMT Ambulatorio Medico Temporaneo;CARATE;Carate Brianza;
Lazzate;Largo Martiri delle foibe;AMT Ambulatorio Medico Temporaneo;CARATE;Carate Brianza;Presso sede Avis
Lentate sul Seveso;Via Garibaldi;...;CARATE;Carate Brianza;
Lentate sul Seveso;Via Garibaldi;...;CARATE;Carate Brianza;
Lissone;Via Monsignor Bernasconi;...;CARATE;Carate Brianza;ICS Maugeri Ente Privato NON afferente alla ASST BRIANZA
Lissone;Via Don Giovanni Minzoni;...;CARATE;Carate Brianza;
Lissone;Via Alberto da Giussano;...;CARATE;Carate Brianza;
Lissone;Via Don Giovanni Minzoni;...;CARATE;Carate Brianza;
Lissone;Via Alberto da Giussano;...;CARATE;Carate Brianza;
Macherio;Via Italia;Poliambulatorio;CARATE;Carate Brianza;
Meda;Via Roma;Consultorio familiare;CARATE;Carate Brianza;
Meda;Via Generale Enrico Cialdini;CPA ~ CdC;CARATE;Carate Brianza;
Misinto;Via Padovan;...;CARATE;Carate Brianza;
Seregno;Via Verdi;Presidio Ospedaliero;CARATE;Carate Brianza;
Seregno;Via Stefano da Seregno;...;CARATE;Carate Brianza;
Seregno;Via Vincenzo Bellini;...;CARATE;Carate Brianza;
Seregno;Via Ivo Oliveti;...;CARATE;Carate Brianza;
Seveso;Via Martiri d'Ungheria;UONPIA;CARATE;Carate Brianza;
Seveso;Via Martiri d'Ungheria;AMT Ambulatorio Medico Temporaneo;CARATE;Carate Brianza;
Sovico;Piazza Frette;Centro Prelievi;CARATE;Carate Brianza;
Vedano al Lambro;Via Milano;CUP;CARATE;Carate Brianza;
Agrate Brianza;Via Lecco;Dialisi - Casa Comunità;VIMERCATE;Carate Brianza;
Arcore;Via Umberto I°;Poliambulatori;VIMERCATE;Carate Brianza;
Arcore;Via Galileo Galilei;AMT Ambulatorio Medico Temporaneo;VIMERCATE;Carate Brianza;
Bellusco;Piazza Alessandro Fumagalli;Vaccinazioni;VIMERCATE;Carate Brianza;
Bellusco;Via Roma;...;VIMERCATE;Carate Brianza;
Bellusco;Via Corte dei Frati;Punto prelievi;VIMERCATE;Carate Brianza;
Bernareggio;Via Camillo Cavour;...;VIMERCATE;Carate Brianza;
Brugherio;Viale Lombardia;TUTTI NO Uonpia e Consultorio;VIMERCATE;Carate Brianza;
Brugherio;Viale Lombardia;AMT Ambulatorio Medico Temporaneo;VIMERCATE;Carate Brianza;
Burago Molgora;Piazza Matteotti;AMT Ambulatorio Medico Temporaneo;VIMERCATE;Carate Brianza;
Caponago;Via Roma;CUP / Punto prelievi;VIMERCATE;Carate Brianza;
Cavenago;Via Aprile 10;Punto prelievi;VIMERCATE;Carate Brianza;
Concorezzo;Via Santa Marta;Consultorio;VIMERCATE;Carate Brianza;
Concorezzo;Via Sergio de Giorgi;CA Continuità Assistenziale;VIMERCATE;Carate Brianza;Ex Guardia Medica
Concorezzo;Via De Giorgi;AMT Ambulatorio Medico Temporaneo;VIMERCATE;Carate Brianza;
Mezzago;Via Fratelli Brasca;AMT Ambulatorio Medico Temporaneo;VIMERCATE;Carate Brianza;
Monza;Ospedale Vecchio Via Solferino;TUTTI NO Uonpia e Consultorio;VIMERCATE;Carate Brianza;ATTENZIONE! AGO è una associazione di volontariato ereditata da HSG monza il personale NON è della ASST BRIANZA accede ai PC in locale NON ha account di dominio e mail aziendale ASST Brianza
Monza;Via Solferino;TUTTI + AMT;VIMERCATE;Carate Brianza;detto "Ospedale Vecchio" NO Uonpia e Consultorio
Monza;Via Boito;TUTTI;VIMERCATE;Carate Brianza;NO Uonpia e Consultorio
Monza;Via De Amicis;TUTTI NO Uonpia e Consultorio;VIMERCATE;Carate Brianza;
Monza;Casa Circondariale;TUTTI;VIMERCATE;Carate Brianza;2 PDL IRCCS HSG: NC131211 - CMSAN006X
Monza;Viale Elvezia;Cure Primarie;VIMERCATE;Carate Brianza;ex ATS Brianza
Ruginello;Via Generale Armando Diaz /A;Consultorio;VIMERCATE;Carate Brianza;
Usmate Velate;Via Roma;Uonpia, Vaccinazioni, Poli Ambulatorio;VIMERCATE;Carate Brianza;
Vimercate;Via Ronchi;NOA;VIMERCATE;Carate Brianza;
Vimercate;Viale Risorgimento;Dentisti;VIMERCATE;Carate Brianza;
Vimercate;Piazzale Guglielmo Marconi;...;VIMERCATE;Carate Brianza;
Vimercate;Piazzale Guglielmo Marconi;Protesica;VIMERCATE;Carate Brianza;
Vimercate;Via Cesare Battisti;CPS;VIMERCATE;Carate Brianza;
Vimercate;via Giuditta Brambilla;Casa di Comunità - Poli Ambulatorio - S/R;VIMERCATE;Carate Brianza;
Vimercate;via Giuditta Brambilla;AMT Ambulatorio Medico Temporaneo + CA Continuità Assistenziale;VIMERCATE;Carate Brianza;
Bovisio Masciago;Piazza Montessori;Distretto;DESIO;Desio;
Bovisio Masciago;Via Cantù;UONPIA;DESIO;Desio;
Ceriano Laghetto;Via Cadorna;AMT Ambulatorio Medico Temporaneo;DESIO;Desio;
Cesano Maderno;Via Mercantini;CAL;DESIO;Desio;
Cesano Maderno;Via Santo Stefano;CSP;DESIO;Desio;
Cesano Maderno;Via S.Carlo Borromeo;Distretto;DESIO;Desio;
Cesano Maderno;Via S.Carlo Borromeo;Scelta Revoca;DESIO;Desio;
Desio;Via Ugo Foscolo;Distretto;DESIO;Desio;
Desio;Via Tolstoj;scuola di via Tolstoj;DESIO;Desio;
Desio;Via Gabellini;Gabellini 10;DESIO;Desio;
Limbiate;Via Monte Grappa;...;DESIO;Desio;
Limbiate;Via Monte Grappa;AMT Ambulatorio Medico Temporaneo;DESIO;Desio;
Limbiate;Via Monte Grappa;RSD Beato Papa Giovanni III;DESIO;Desio;
Muggiò;Via Dante;Distretto;DESIO;Desio;
Muggiò;Via Dante;NPI;DESIO;Desio;
Nova Milanese;Via Madonnina;Distretto;DESIO;Desio;
Nova Milanese;Via Croce Rossa;AMT Ambulatorio Medico Temporaneo;DESIO;Desio;
Nova Milanese;Via Giussani;CdC;DESIO;Desio;
Desio;Via Giuseppe Mazzini;Presidio Ospedaliero;DESIO;Desio;PO PIO XI
Varedo;Via Dante;Ambulatorio;DESIO;Desio;
Varedo;Via San Giuseppe;AMT Ambulatorio Medico Temporaneo;DESIO;Desio;
Varedo;Via San Giuseppe;UONPIA;DESIO;Desio;
Villasanta;...;SOLO consultorio;VIMERCATE;Carate Brianza;Riferire a Fleet Monza
Monza;Via Giordano;Centro diurno psichiatrico;IRCCS MONZA;IRCCS MONZA;Riferire a Fleet Monza
Monza;Via Boito;SOLO consultorio;VIMERCATE;Carate Brianza;...
Monza;Via De Amicis;SOLO Consultorio;VIMERCATE;Carate Brianza;...
Monza;Via Giordano;CDI;IRCCS MONZA;IRCCS MONZA;Riferire a Fleet Monza
Monza;Via Giordano;CDI Adulto;IRCCS MONZA;IRCCS MONZA;Riferire a Fleet Monza
Monza;Via De Amicis;SOLO Consultorio;VIMERCATE;Carate Brianza;...
Monza;Via De Amicis;Consultorio giovani adulti;IRCCS MONZA;IRCCS MONZA;Riferire a Fleet Monza
Monza;Via Boito;Centro Prelievi;IRCCS MONZA;IRCCS MONZA;Riferire a Fleet Monza
Monza;Via De Amicis;Centro prelievi;IRCCS MONZA;IRCCS MONZA;Riferire a Fleet Monza
Monza;Via Giordano;Centro diurno;IRCCS MONZA;IRCCS MONZA;Riferire a Fleet Monza
Monza;Via Boito;Consultorio giovani adulti;IRCCS MONZA;IRCCS MONZA;Riferire a Fleet Monza
Monza;Via Boito;Centro prelievi;IRCCS MONZA;IRCCS MONZA;Riferire a Fleet Monza
Monza;Via Giordano;Centro prelievi;IRCCS MONZA;IRCCS MONZA;Riferire a Fleet Monza
Monza;Via Boito;Centro prelievi;IRCCS MONZA;IRCCS MONZA;Riferire a Fleet Monza
Monza;Via Giordano;Consultorio-CPS-Neuropsichiatria infantile-Psichiatria;IRCCS MONZA;IRCCS MONZA;Riferire a Fleet Monza
Lissone;...;Dialisi;IRCCS MONZA;IRCCS MONZA;Riferire a Fleet Monza
Cologno Monzese;...;Centro prelievi (AVIS);IRCCS MONZA;IRCCS MONZA;Riferire a Fleet Monza
Besana in Brianza;...;Centro prelievi (AVIS);IRCCS MONZA;IRCCS MONZA;Riferire a Fleet Monza
Desio;Via Gabellini;RSD Lo Scarabocchio;IRCCS MONZA;IRCCS MONZA;Riferire a Fleet Monza
